Timestamp,Date,Time,Type, Pressure,FrontAngle,SideAngle,UpAngle
1459359515.828168,30.03.16,10:38:35.828,Fore,100,107,164,216
1459359515.771335,30.03.16,10:38:35.771,Fore,100,0,36,0
1459359515.228258,30.03.16,10:38:35.228,Fore,87,112,141,234
1459359515.171136,30.03.16,10:38:35.171,Fore,100,255,1,0
1459359515.113178,30.03.16,10:38:35.113,Fore,100,255,1,0
1459359514.570764,30.03.16,10:38:34.571,Fore,25,112,109,214
1459359514.509907,30.03.16,10:38:34.510,Fore,100,112,109,214
1459359514.479068,30.03.16,10:38:34.479,Fore,100,0,62,0
1459359513.911700,30.03.16,10:38:33.912,Fore,85,117,153,238
1459359513.880277,30.03.16,10:38:33.880,Fore,100,0,1,0
1459359513.820611,30.03.16,10:38:33.821,Fore,100,0,1,0
1459359513.278660,30.03.16,10:38:33.279,Fore,95,83,52,169
1459359513.221276,30.03.16,10:38:33.221,Fore,100,83,52,169
1459359513.161334,30.03.16,10:38:33.161,Fore,100,0,69,0
1459359512.559686,30.03.16,10:38:32.560,Fore,100,111,72,216
1459359512.527514,30.03.16,10:38:32.528,Fore,100,255,1,254
1459359511.959882,30.03.16,10:38:31.960,Fore,87,127,99,233
1459359511.928383,30.03.16,10:38:31.928,Fore,100,149,1,175
1459359511.870690,30.03.16,10:38:31.871,Fore,83,149,1,175
1459359511.309064,30.03.16,10:38:31.309,Fore,95,80,52,181
1459359511.276229,30.03.16,10:38:31.276,Fore,100,80,52,181
1459359511.211196,30.03.16,10:38:31.211,Fore,65,0,11,0
1459359510.671427,30.03.16,10:38:30.671,Fore,88,101,99,221
1459359510.615210,30.03.16,10:38:30.615,Fore,100,255,1,59
1459359510.581694,30.03.16,10:38:30.582,Fore,54,255,1,59
1459359510.009593,30.03.16,10:38:30.010,Fore,100,100,179,0
1459359509.978128,30.03.16,10:38:29.978,Fore,100,100,179,0
1459359509.921773,30.03.16,10:38:29.922,Fore,53,0,19,0
1459359509.382145,30.03.16,10:38:29.382,Fore,100,110,152,255
1459359509.350908,30.03.16,10:38:29.351,Fore,100,0,256,255
1459359509.266603,30.03.16,10:38:29.267,Fore,24,0,256,255
1459359508.721735,30.03.16,10:38:28.722,Fore,84,133,220,253
1459359508.659883,30.03.16,10:38:28.660,Fore,100,133,220,253
1459359508.608159,30.03.16,10:38:28.608,Fore,78,0,150,96
1459359508.059551,30.03.16,10:38:28.060,Fore,100,98,123,206
1459359508.008296,30.03.16,10:38:28.008,Fore,100,0,256,251
1459359507.974860,30.03.16,10:38:27.975,Fore,12,0,256,251
1459359507.425560,30.03.16,10:38:27.426,Fore,98,171,137,255
1459359507.394035,30.03.16,10:38:27.394,Fore,100,171,137,255
1459359507.340331,30.03.16,10:38:27.340,Fore,94,0,57,205
1459359506.743800,30.03.16,10:38:26.744,Fore,94,101,138,205
1459359506.710437,30.03.16,10:38:26.710,Fore,100,101,138,205
1459359506.653051,30.03.16,10:38:26.653,Fore,92,234,138,0
1459359506.109688,30.03.16,10:38:26.110,Fore,95,122,126,237
